Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EUSD
1528675200,11/06/2018,DOGEUSD,0.003102,0.003185,0.003074,0.003161,2061200,6413.43
1528502400,09/06/2018,DOGEUSD,0.003656,0.0037,0.003614,0.003627,71438190,261809.19
1528416000,08/06/2018,DOGEUSD,0.003726,0.003726,0.00345,0.003656,75571620,276957.36
1528329600,07/06/2018,DOGEUSD,0.003743,0.003856,0.003692,0.003726,68292630,257091.01
1528243200,06/06/2018,DOGEUSD,0.003641,0.003801,0.0036,0.003743,90495280,335175.68
1528156800,05/06/2018,DOGEUSD,0.003556,0.003743,0.003457,0.003641,72819600,261421.98
1528070400,04/06/2018,DOGEUSD,0.003661,0.003745,0.00345,0.003556,99906580,356974.71
1527984000,03/06/2018,DOGEUSD,0.003576,0.00372,0.00353,0.003661,108571390,395237.83
1527897600,02/06/2018,DOGEUSD,0.00342,0.003798,0.003385,0.003576,116947370,408815.7
1527811200,01/06/2018,DOGEUSD,0.003402,0.003549,0.003191,0.00342,110272030,375884.24
1527724800,31/05/2018,DOGEUSD,0.003389,0.003516,0.003329,0.003402,97831320,334028.02
1527638400,30/05/2018,DOGEUSD,0.003461,0.003549,0.0033,0.003389,114100200,390824.38
1527552000,29/05/2018,DOGEUSD,0.003205,0.003559,0.003121,0.003461,134405070,440357.84
1527465600,28/05/2018,DOGEUSD,0.00339,0.003446,0.00317,0.003205,129736770,428823.74
1527379200,27/05/2018,DOGEUSD,0.003431,0.003508,0.003349,0.00339,112833030,384293.17
1527292800,26/05/2018,DOGEUSD,0.003479,0.003567,0.0034,0.003431,114818190,403115.77
1527206400,25/05/2018,DOGEUSD,0.003552,0.003611,0.003441,0.003479,99749670,351469.75
1527120000,24/05/2018,DOGEUSD,0.003461,0.003604,0.003268,0.003552,128370200,443493.37
1527033600,23/05/2018,DOGEUSD,0.003819,0.003946,0.00334,0.003461,111089330,400298.58
1526947200,22/05/2018,DOGEUSD,0.004203,0.00422,0.0038,0.003819,107333280,436418.53
1526860800,21/05/2018,DOGEUSD,0.004348,0.004381,0.004203,0.004203,103401800,444246.13
1526774400,20/05/2018,DOGEUSD,0.004248,0.004381,0.004183,0.004348,104192210,445691.38
1526688000,19/05/2018,DOGEUSD,0.004239,0.0043,0.00416,0.004248,84868300,360459.92
1526601600,18/05/2018,DOGEUSD,0.004156,0.004352,0.004011,0.004239,83501670,346863.9
1526515200,17/05/2018,DOGEUSD,0.004382,0.004423,0.00415,0.004156,81925320,353698.3
1526428800,16/05/2018,DOGEUSD,0.004502,0.00452,0.004223,0.004382,90007300,392727.83
1526342400,15/05/2018,DOGEUSD,0.004457,0.00475,0.00438,0.004502,82272620,374973.78
1526256000,14/05/2018,DOGEUSD,0.00449,0.0046,0.004265,0.004457,42943510,191710.8
1526169600,13/05/2018,DOGEUSD,0.004318,0.00495,0.00422,0.00449,41848880,184966.63
1526083200,12/05/2018,DOGEUSD,0.00429,0.004444,0.003999,0.004318,32974810,140456.41
1525996800,11/05/2018,DOGEUSD,0.004769,0.004769,0.00415,0.00429,26463730,116669.65
1525910400,10/05/2018,DOGEUSD,0.005004,0.005215,0.00472,0.004769,13642250,68527.75
1525824000,09/05/2018,DOGEUSD,0.005251,0.005325,0.0047,0.005004,45722140,228710.26
1525737600,08/05/2018,DOGEUSD,0.00491,0.005418,0.0048,0.005251,46878610,238609.3
1525651200,07/05/2018,DOGEUSD,0.00498,0.005097,0.00465,0.00491,92543200,448294.78
1525564800,06/05/2018,DOGEUSD,0.005237,0.005287,0.004809,0.00498,79159000,396472.28
1525478400,05/05/2018,DOGEUSD,0.005266,0.005465,0.0051,0.005237,82900690,434730.56
1525392000,04/05/2018,DOGEUSD,0.005551,0.005623,0.005179,0.005266,81068650,433096.47
1525305600,03/05/2018,DOGEUSD,0.005353,0.005833,0.005225,0.005551,90002710,491532.29
1525219200,02/05/2018,DOGEUSD,0.005096,0.0054,0.004677,0.005353,71946010,376765.56
1525132800,01/05/2018,DOGEUSD,0.00527,0.005282,0.004807,0.005096,70136310,357115.52
1525046400,30/04/2018,DOGEUSD,0.005464,0.005549,0.004842,0.00527,99896940,533283.42
1524960000,29/04/2018,DOGEUSD,0.00549,0.005609,0.005256,0.005464,95326410,517175.52
1524873600,28/04/2018,DOGEUSD,0.005464,0.005699,0.005401,0.00549,88610190,489265.43
1524787200,27/04/2018,DOGEUSD,0.005571,0.00585,0.005401,0.005464,107878190,605751.58
1524700800,26/04/2018,DOGEUSD,0.005143,0.005586,0.005,0.005571,104999880,555569.11
1524614400,25/04/2018,DOGEUSD,0.00586,0.005889,0.004919,0.005143,102427410,544543.26
1524528000,24/04/2018,DOGEUSD,0.005713,0.005955,0.005655,0.00586,88088380,510630.76
1524441600,23/04/2018,DOGEUSD,0.005628,0.00585,0.005582,0.005713,101034660,574953.27
1524355200,22/04/2018,DOGEUSD,0.00559,0.006011,0.005353,0.005628,97383540,553396.29
1524268800,21/04/2018,DOGEUSD,0.005881,0.005911,0.005221,0.00559,96723090,543813.54
1524182400,20/04/2018,DOGEUSD,0.005999,0.006136,0.005631,0.005881,98082780,578551.26
1524096000,19/04/2018,DOGEUSD,0.005611,0.006113,0.0054,0.005999,74669620,430684.79
1524009600,18/04/2018,DOGEUSD,0.00485,0.005799,0.00481,0.005611,68500800,354581.64
1523923200,17/04/2018,DOGEUSD,0.004718,0.005077,0.004662,0.00485,85886690,418188.9
1523836800,16/04/2018,DOGEUSD,0.004745,0.0052,0.004297,0.004718,104577740,495420.47
1523750400,15/04/2018,DOGEUSD,0.004262,0.0048,0.004235,0.004745,128293790,583782.29
1523664000,14/04/2018,DOGEUSD,0.004117,0.00443,0.004,0.004262,102219000,430008.36
1523577600,13/04/2018,DOGEUSD,0.003905,0.004471,0.003626,0.004117,126778430,523761.47
1523491200,12/04/2018,DOGEUSD,0.003467,0.00395,0.003251,0.003905,128301510,465428.3
1523404800,11/04/2018,DOGEUSD,0.003155,0.003631,0.00305,0.003467,146484030,492363.84
1523318400,10/04/2018,DOGEUSD,0.002847,0.003266,0.002824,0.003155,115449730,343112.39
