Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1528675200,11/06/2018,LTCUSD,107.11,108.92,104.8,107.13,14274,1526468.78
1528588800,10/06/2018,LTCUSD,117.55,117.55,103.91,107.11,60408.4,6726829.36
1528502400,09/06/2018,LTCUSD,119.79,120.87,117.13,117.55,41443.2,4957296.18
1528416000,08/06/2018,LTCUSD,121.73,122.28,118.39,119.79,33688.1,4029067.06
1528329600,07/06/2018,LTCUSD,121.77,123.69,119.81,121.73,42450.5,5167380.41
1528243200,06/06/2018,LTCUSD,122.2,122.55,118.55,121.77,41631.9,5035205.89
1528156800,05/06/2018,LTCUSD,120.17,122.62,117.02,122.2,45887.6,5490754.06
1528070400,04/06/2018,LTCUSD,125.06,126.75,119.02,120.17,41038.3,4977344.55
1527984000,03/06/2018,LTCUSD,123.15,127.62,122.15,125.06,19938.5,2492995.95
1527897600,02/06/2018,LTCUSD,120.66,124.26,119.08,123.15,18601.9,2272713.12
1527811200,01/06/2018,LTCUSD,118.7,120.71,117.29,120.66,20786.4,2473041.93
1527724800,31/05/2018,LTCUSD,117.61,120.99,116.5,118.7,22254.5,2649876.47
1527638400,30/05/2018,LTCUSD,119.6,122.99,115.45,117.61,25662.4,3054843.21
1527552000,29/05/2018,LTCUSD,111.3,123,110.3,119.6,24672.5,2879210.95
1527465600,28/05/2018,LTCUSD,118.79,119.45,110.78,111.3,28261.6,3245554.99
1527379200,27/05/2018,LTCUSD,118.98,119.5,117.34,118.79,19182.6,2270630.2
1527292800,26/05/2018,LTCUSD,119.5,122.66,117.87,118.98,19668.4,2368312.77
1527206400,25/05/2018,LTCUSD,122.77,124.21,117.48,119.5,10320,1228609.42
1527120000,24/05/2018,LTCUSD,118.54,124.78,116.11,122.77,18580.6,2241388.22
1527033600,23/05/2018,LTCUSD,128.51,129.91,117.69,118.54,23928.3,2948419.22
1526947200,22/05/2018,LTCUSD,134.64,135.98,128.03,128.51,20455.1,2710911.97
1526860800,21/05/2018,LTCUSD,139.64,139.84,133.72,134.64,16468.2,2247850.41
1526774400,20/05/2018,LTCUSD,134.9,140.35,132.85,139.64,16961.3,2320976.71
1526688000,19/05/2018,LTCUSD,135.79,137.5,133,134.9,16520.9,2232313.89
1526601600,18/05/2018,LTCUSD,132.86,137.37,129.19,135.79,15484.2,2059462.32
